churn_status,session_length_seconds,session_count,event_count,closed_session_event_count,open_session_event_count,quest_completed_event_count,store_purchase_event_count,active_days
Churned,9,1,4,1,1,0,0,1
Churned,1639,3,36,9,9,0,0,2
Stayed,62,1,5,1,1,0,0,1
Churned,11326,20,154,25,23,38,0,13
Stayed,51214,73,1145,163,151,116,3,30
Churned,5091,3,147,7,7,16,0,1
Churned,761,2,28,3,3,6,0,1
Stayed,160384,212,2689,553,550,287,7,38
Churned,1375,2,10,3,3,0,0,1
Stayed,5859,7,215,10,12,41,0,4
Churned,17684,43,344,66,64,43,1,16
Stayed,3627,21,156,25,25,17,16,15
Stayed,8958,7,388,20,20,25,4,2
Stayed,17123,40,460,57,56,243,1,22
Churned,9251,24,228,47,47,23,1,15
Churned,13379,27,411,38,37,124,0,11
Stayed,71608,23,625,127,130,44,3,7
Churned,1243,1,45,3,3,10,0,1
Churned,506,1,14,2,2,0,0,1
Churned,15763,43,461,80,78,45,3,12
Stayed,8917,11,208,20,19,10,0,5
Churned,1410,3,27,5,5,1,0,2
Stayed,37452,91,539,124,125,41,0,40
Stayed,18368,51,418,104,104,15,1,18
Churned,5721,4,51,6,6,9,0,4
Stayed,432,2,15,4,4,1,0,2
Churned,4,1,4,1,1,0,0,1
Stayed,47989,135,1200,187,183,387,7,48
Stayed,204498,298,3616,482,484,1491,34,50
Churned,4174,17,110,20,20,20,2,8
Churned,4813,7,139,9,9,14,0,4
Churned,351,2,25,8,8,1,0,1
Stayed,204251,296,4211,580,603,1469,38,54
Stayed,12289,23,262,46,45,16,0,9
Stayed,36591,66,696,101,100,58,2,12
Churned,3123,10,67,12,12,3,0,8
Churned,3267,2,47,3,3,15,0,1
Churned,5439,8,135,23,23,8,1,3
Stayed,123422,307,2218,408,408,619,13,45
Stayed,1868,10,51,10,10,3,0,10
Stayed,21832,24,318,61,62,16,1,6
Stayed,70860,203,1608,363,359,104,8,40
Churned,5719,14,203,24,24,17,0,7
Stayed,25158,80,526,88,86,105,6,31
Churned,8523,11,166,20,20,15,0,4
Churned,10616,48,253,57,57,19,4,25
Stayed,328638,485,8822,767,759,5642,1,55
Churned,67057,104,1323,164,163,236,5,22
Churned,6743,21,163,37,37,18,0,14
Stayed,81424,151,1064,224,222,102,6,28
Stayed,94310,186,1453,315,314,218,18,55
Churned,14390,27,240,49,49,42,2,11
Churned,9,2,9,2,2,0,0,2
Churned,15840,28,308,35,35,46,1,5
Stayed,962637,435,18830,855,820,13897,57,53
Stayed,46655,171,957,219,217,110,5,49
Churned,8433,7,95,27,27,8,0,4
Stayed,21222,36,402,62,60,48,3,18
Churned,1779,6,58,9,9,12,0,3
Churned,24038,47,245,58,55,34,0,18
Churned,8794,11,407,28,27,29,2,5
Churned,24910,24,548,56,56,214,2,8
Churned,84,2,13,4,4,0,0,1
Stayed,57157,74,1273,160,156,83,2,14
Stayed,35609,70,731,102,100,236,0,11
Stayed,379,1,11,3,3,0,0,1
Stayed,49809,63,768,147,145,136,4,11
Stayed,22362,47,599,158,156,69,0,26
Churned,1717,8,52,10,10,2,0,5
Churned,2725,7,78,12,12,8,0,6
Stayed,14955,33,280,49,50,21,3,16
Churned,2169,9,53,17,17,0,0,5
Churned,42991,69,919,99,97,455,1,28
Stayed,4012,14,102,19,20,6,0,6
Stayed,215032,197,3032,532,523,533,12,42
Stayed,81246,125,1522,210,209,398,7,28
Churned,2422,6,65,8,8,6,0,6
Churned,39348,80,583,106,106,39,2,18
Stayed,47052,116,1055,187,187,143,1,25
Stayed,142371,243,2023,389,386,278,25,33
Churned,1649,2,29,4,4,2,0,2
Churned,5,1,4,1,1,0,0,1
Churned,491,4,36,5,5,0,0,4
Stayed,5695,6,106,11,11,13,1,4
Stayed,74793,265,1538,410,405,113,21,33
Stayed,166774,306,2469,453,450,477,24,35
Churned,8939,13,130,17,16,53,0,9
Stayed,54931,70,1259,146,144,123,15,28
Churned,92748,134,1153,277,276,74,3,25
Stayed,8263,66,325,74,74,22,6,32
Churned,18859,90,622,115,113,90,0,11
Stayed,606806,409,7207,1185,1174,2442,11,53
Churned,2238,1,84,4,4,16,0,1
Stayed,32999,100,604,123,123,54,1,24
Stayed,18718,122,755,181,178,42,1,40
Stayed,11838,37,256,59,59,3,1,18
Stayed,1027,2,20,3,3,1,0,1
Stayed,39247,146,859,181,182,47,4,55
Stayed,56484,386,2775,430,431,946,3,50
Churned,3357,2,105,3,3,10,0,1
Churned,2253,13,70,19,19,0,0,9
Churned,2993,5,36,9,8,2,1,5
Stayed,42134,62,534,129,123,53,3,6
Churned,10774,17,245,37,35,16,0,8
Churned,1504,1,49,4,4,21,0,1
Churned,11432,20,199,27,26,30,1,12
Stayed,24773,23,531,38,37,82,9,10
Churned,21406,55,470,66,60,74,2,26
Churned,238963,161,4546,469,467,2345,1,20
Churned,1923,3,31,4,4,4,0,2
Churned,1997,4,149,5,5,10,0,4
Churned,2331,6,115,9,9,15,0,2
Churned,180,1,10,3,3,0,0,1
Stayed,12029,49,489,65,65,177,2,15
Stayed,54600,94,708,135,136,49,13,27
Stayed,16824,136,1034,269,269,17,5,37
Stayed,29539,84,851,102,100,222,7,41
Stayed,12471,34,305,41,41,48,4,16
Stayed,39556,93,678,185,183,17,1,22
Stayed,82243,220,2376,295,295,962,22,43
Churned,1609,2,55,4,4,6,0,1
Stayed,79081,286,1572,337,338,107,9,55
Stayed,92067,251,2010,331,328,482,2,53
Stayed,709,3,31,7,7,2,0,1
Stayed,15836,59,508,74,73,227,0,32
Churned,18968,30,408,54,53,30,1,7
Churned,26,1,6,2,2,0,0,1
Stayed,88185,142,1842,225,225,434,2,26
Stayed,1372,2,22,6,5,0,0,2
Stayed,12502,22,223,32,31,17,1,11
Churned,20570,30,394,51,51,87,1,12
Stayed,16390,77,438,97,96,86,4,32
Churned,974,1,32,2,1,5,0,1
Stayed,32008,172,1002,217,215,144,0,49
Stayed,43023,90,1001,164,164,116,0,18
Stayed,37984,153,968,182,182,226,9,41
Churned,3339,4,123,7,7,18,0,1
Churned,0,1,1,0,0,0,0,1
Stayed,8,1,5,1,1,0,0,1
Stayed,67346,154,1159,181,179,59,40,51
Stayed,5442,3,103,11,11,19,0,2
Stayed,27788,28,619,48,47,68,1,11
Churned,896,4,19,4,4,0,0,2
Churned,1820,3,31,9,9,0,0,2
Stayed,1319,2,47,4,4,3,0,2
Stayed,36931,117,1128,155,153,413,10,42
Stayed,7345,15,292,27,25,39,1,9
Churned,3918,3,114,21,21,23,0,1
Churned,6203,26,196,40,40,49,0,19
Stayed,104882,132,1972,218,203,318,4,35
Churned,3412,5,127,7,7,18,0,4
Stayed,21919,45,514,86,84,26,3,11
Stayed,2101,1,50,3,3,7,1,1
Churned,283,2,13,4,4,0,0,2
Stayed,75092,178,1379,250,251,236,5,21
Stayed,37054,76,699,125,122,110,7,11
Stayed,27944,20,933,51,51,99,0,10
Churned,203,1,7,2,2,0,0,1
Stayed,7472,24,325,27,27,40,1,15
Churned,3529,8,123,9,9,18,0,4
Churned,1003,4,47,7,7,4,0,2
Churned,52,1,6,2,2,0,0,1
Churned,1387,3,17,5,5,0,0,2
Churned,57232,170,1130,245,244,248,9,38
Stayed,128002,205,1853,351,350,557,9,49
Stayed,1172,5,49,5,5,3,0,3
Churned,452,1,13,2,1,0,0,1
Churned,1128,1,30,3,3,2,0,1
Stayed,7401,16,172,20,20,30,1,10
Stayed,121912,126,2311,281,276,824,8,28
Churned,3021,7,61,12,9,11,0,6
Stayed,22722,57,479,73,72,54,1,12
Stayed,84035,55,1004,142,140,44,9,6
Stayed,30171,120,773,142,141,117,7,41
Churned,6525,18,145,30,29,34,0,8
Churned,813,2,41,3,3,1,0,2
Churned,120,3,11,3,3,0,0,2
Stayed,10522,8,202,26,26,11,0,3
Stayed,4,1,5,1,1,0,0,1
Stayed,110708,150,2932,201,198,1829,0,11
Stayed,30212,27,620,55,52,286,3,12
Stayed,344123,375,4076,742,732,1152,50,51
Stayed,756,3,42,7,7,4,0,3
Churned,1793,8,74,13,13,4,0,5
Churned,6240,8,80,20,20,5,0,5
Churned,30839,68,743,97,96,134,0,20
Churned,11320,24,158,35,33,8,1,13
Stayed,26295,75,574,110,110,66,6,26
Stayed,26662,16,789,19,20,607,3,3
Churned,594,1,23,3,3,1,0,1
Stayed,20262,50,316,65,64,21,0,15
Churned,1117,6,71,7,7,7,1,5
Stayed,259024,409,5532,680,679,2722,24,51
Stayed,10397,11,205,33,33,16,0,5
Stayed,5782,13,157,21,21,24,0,10
Stayed,20292,39,655,67,64,205,0,19
Stayed,25229,49,522,81,81,117,3,17
Stayed,33508,59,589,100,101,160,1,8
Churned,103,3,10,3,3,0,0,3
Churned,4829,8,142,11,10,18,0,6
Churned,138,1,6,2,2,0,0,1
Stayed,124897,57,2546,146,144,1048,2,11
Stayed,317046,381,5947,520,519,2808,6,55
Churned,9711,11,135,22,22,25,0,3
Stayed,154458,142,2728,237,215,763,4,36
Stayed,121181,134,2747,199,200,1631,2,29
Stayed,40382,153,888,202,202,26,4,39
Churned,3388,4,110,10,10,8,2,2
Churned,3856,4,49,14,13,0,0,3
Churned,11082,31,202,39,39,28,0,12
Churned,420,1,20,2,2,3,0,1
Stayed,50934,167,841,213,210,44,26,50
Churned,188,1,7,2,2,0,0,1
Stayed,13416,13,301,28,28,21,0,3
Churned,343,5,29,9,9,0,0,4
Stayed,239,1,7,2,2,0,0,1
Stayed,13419,52,331,65,64,65,0,31
Stayed,92740,137,1573,322,320,271,11,20
Stayed,33540,94,752,124,124,65,5,41
Churned,227,1,6,2,2,0,0,1
Churned,3823,9,101,14,14,17,1,3
Stayed,512,1,18,2,2,1,0,1
Churned,3243,3,34,4,4,3,0,3
Stayed,1959,6,46,7,6,9,0,4
Churned,3716,10,132,21,21,18,0,10
Stayed,51982,188,1252,224,221,280,3,32
Stayed,6379,7,143,17,17,18,0,1
Churned,3376,3,55,4,4,8,0,3
Stayed,26864,44,336,77,76,23,1,9
Churned,5346,14,269,20,19,28,0,10
Churned,560,2,15,4,4,0,0,2
Churned,2651,4,68,6,5,10,0,2
Churned,220,4,18,5,5,0,0,4
Churned,81,1,4,1,1,0,0,1
Churned,5297,4,138,13,13,19,0,3
Stayed,196978,423,3068,739,734,340,3,55
Stayed,29741,172,944,218,216,240,4,48
Churned,13862,45,351,60,58,36,0,20
Stayed,4107,23,152,26,26,23,0,9
Stayed,61775,150,839,219,217,57,13,49
Churned,0,1,1,0,0,0,0,1
Stayed,214,1,8,2,2,0,0,1
Stayed,2666,1,87,5,4,20,0,1
Stayed,22319,37,531,70,63,44,19,15
Churned,15248,28,247,38,37,52,0,16
Churned,42494,37,570,67,66,104,1,16
Churned,434,3,25,5,5,0,0,1
Churned,8618,12,223,20,20,141,0,8
Churned,442,2,12,3,3,0,0,2
Stayed,10267,2,134,28,28,24,1,2
Churned,1362,5,30,5,5,3,0,5
Churned,335,3,13,3,3,0,0,3
Churned,4937,31,163,32,33,16,2,25
Churned,482,2,15,3,3,0,0,2
Stayed,88391,236,1754,373,372,323,8,52
Stayed,1529,5,36,8,8,4,0,5
Stayed,83096,98,1556,185,170,698,1,25
Stayed,288546,191,5817,502,501,3524,8,28
Stayed,53783,58,671,105,103,139,2,21
Churned,2464,3,64,10,10,1,0,2
Churned,189,1,7,2,2,0,0,1
Stayed,3151,2,36,4,4,12,0,2
Stayed,91719,140,1585,294,294,327,3,27
Churned,46,1,4,1,1,0,0,1
Stayed,145094,257,2486,482,479,281,13,35
Churned,3834,9,102,16,15,28,0,7
Churned,3462,6,115,10,10,12,0,4
Stayed,166340,319,3219,390,389,1345,39,53
Churned,2382,4,55,8,8,8,2,1
Stayed,46742,100,1152,186,186,314,0,37
Churned,1798,4,49,5,3,5,0,3
Stayed,101431,314,1944,444,443,225,0,52
Stayed,38114,158,1516,209,210,154,1,38
Churned,2025,4,113,6,6,13,0,3
Churned,1598,2,54,10,10,5,0,2
Churned,150,1,12,5,5,0,0,1
Stayed,4252,8,118,13,13,16,1,6
Churned,20557,17,792,54,53,290,0,4
Churned,3226,5,73,8,8,10,0,4
Churned,15398,23,174,42,42,7,1,12
Churned,21196,30,506,53,51,164,1,17
Churned,4940,8,112,10,10,14,1,3
Stayed,69715,170,1283,251,249,287,1,54
Churned,13177,28,233,38,39,27,1,14
Churned,8759,10,197,16,14,25,0,7
Stayed,44717,63,910,129,128,186,2,21
Churned,108,1,4,1,1,0,0,1
Stayed,167881,281,2077,552,544,90,23,38
Stayed,2132,1,65,7,7,6,2,1
Churned,1654,1,55,5,5,14,0,1
Stayed,27918,65,575,99,99,84,2,21
Stayed,22192,99,612,132,133,112,11,36
Stayed,45538,85,660,144,139,37,3,18
Stayed,48321,104,1607,312,311,60,5,21
Churned,17256,22,184,56,56,8,0,11
Stayed,2,1,4,1,1,0,0,1
Stayed,81730,45,1965,122,121,1200,4,13
Stayed,109043,298,1747,426,424,140,11,53
Stayed,31806,115,1262,174,184,73,8,37
Churned,240,1,6,2,2,0,0,1
Churned,3255,2,117,6,6,12,0,1
Stayed,21346,31,487,77,81,53,0,9
Stayed,310098,463,6538,783,784,3317,14,50
Stayed,3,1,4,1,1,0,0,1
Stayed,29144,59,541,93,90,73,1,10
Churned,7909,17,195,22,18,24,43,10
Churned,54,1,4,1,1,0,0,1
Stayed,28793,38,749,74,72,98,0,13
Stayed,264693,104,5627,293,289,3096,30,14
Churned,1271,5,34,7,7,8,0,4
Churned,10816,19,164,36,35,29,0,11
Stayed,121142,282,2257,423,419,339,12,52
Stayed,27925,140,890,177,180,195,1,44
Stayed,55401,111,895,149,149,118,2,28
Stayed,20776,95,550,109,110,68,0,46
Churned,47,1,4,1,1,0,0,1
Stayed,119936,298,2713,537,536,791,2,55
Stayed,322739,320,5343,1125,1155,554,16,35
Stayed,22819,34,481,49,51,57,3,13
Churned,16950,30,348,45,45,73,0,8
Stayed,59082,64,1099,149,149,143,5,7
Churned,17420,60,520,86,87,76,1,18
Churned,1020,4,59,6,6,6,0,3
Churned,3127,5,81,8,8,10,2,2
Stayed,151724,256,1961,504,502,43,0,47
Churned,390,3,27,6,6,1,0,1
Churned,12436,19,343,42,42,60,0,3
Churned,3759,4,176,9,9,22,0,2
Stayed,2547,6,78,13,12,11,0,2
Stayed,120005,249,1783,346,347,173,27,32
Stayed,33893,66,569,106,108,74,5,27
Stayed,35997,130,758,154,153,102,4,49
Stayed,33721,49,546,90,90,140,2,12
Stayed,36421,113,737,153,152,153,6,26
Stayed,1520,6,37,7,7,4,0,3
Stayed,96233,195,1703,375,370,322,16,36
Stayed,40415,61,532,104,102,25,5,17
Churned,112,1,8,2,2,0,0,1
Churned,3,1,4,1,1,0,0,1
Stayed,3415,7,149,9,8,21,0,5
Stayed,52242,211,1003,272,269,69,12,52
Churned,24272,25,438,59,56,41,3,7
Churned,1865,3,22,4,4,3,0,3
Churned,1093,1,59,3,3,12,1,1
Stayed,77169,85,1345,233,226,325,2,28
Stayed,6280,15,116,22,19,4,0,12
Stayed,11140,16,371,46,46,31,12,5
Stayed,39303,42,559,94,94,61,0,12
Stayed,61804,260,1432,280,283,100,23,55
Churned,811,2,33,3,3,5,1,1
Churned,37103,74,691,112,106,97,0,22
Churned,31549,113,926,127,126,106,7,30
Churned,58,1,4,1,1,0,0,1
Churned,1020,14,103,33,33,0,2,11
Churned,32450,58,702,65,65,309,13,25
Stayed,18167,151,707,167,167,94,5,52
Stayed,19787,38,495,77,76,80,2,16
Churned,592,5,26,8,8,0,0,4
Stayed,56418,85,1032,103,103,402,15,44
Stayed,29329,18,394,47,50,65,0,4
Stayed,101594,274,2248,415,413,433,28,19
Churned,57601,101,1033,231,233,117,1,18
Churned,368,4,21,5,3,0,0,3
Churned,262,1,20,5,5,0,0,1
Stayed,2865,8,78,14,14,9,0,5
Stayed,89955,230,1990,364,355,121,18,51
Stayed,4345,11,173,15,15,40,0,8
Churned,1064,5,29,5,5,2,0,4
Churned,26875,24,524,69,69,159,2,6
Stayed,83617,109,2298,185,184,1095,2,13
Churned,8,1,4,1,1,0,0,1
Stayed,2869,5,77,6,8,7,0,3
Churned,1572,1,27,2,2,7,0,1
Churned,288,2,14,4,4,0,0,1
Stayed,10693,24,301,29,28,91,0,10
Churned,12677,28,302,54,54,21,1,10
Churned,851,6,31,8,8,0,0,5
Churned,532,1,19,2,2,3,0,1
Churned,4468,7,81,11,11,8,0,2
Churned,3869,6,94,14,14,5,0,2
Churned,4294,7,153,11,11,16,0,3
Churned,6991,28,202,40,40,20,1,13
Churned,3693,3,125,5,5,27,0,3
Churned,1260,1,22,4,4,1,0,1
Churned,586,2,31,4,4,1,0,2
Stayed,63159,151,1007,281,279,71,18,51
Stayed,78840,204,1721,305,301,103,47,46
Churned,1511,20,56,13,10,0,0,16
Churned,23955,40,410,60,59,53,4,18
Churned,3808,17,108,20,20,21,0,12
Churned,6501,16,114,29,29,5,0,11
Stayed,20430,46,454,81,81,19,0,11
Stayed,145,1,4,1,1,0,0,1
Churned,53099,19,597,86,86,197,1,4
Stayed,84895,113,1094,221,221,149,3,21
Stayed,121577,157,2176,318,313,668,98,43
Stayed,3,1,5,1,1,0,0,1
Stayed,3695,43,191,47,47,4,0,25
Churned,200,2,13,4,3,0,0,2
Stayed,3628,5,179,14,14,14,0,5
Stayed,82710,184,1834,478,478,298,3,44
Churned,4977,6,187,15,14,12,0,4
Churned,53,1,10,3,3,0,0,1
Stayed,1830,23,90,22,22,0,0,11
Stayed,30113,97,721,132,132,246,4,36
Churned,4850,3,119,9,9,21,2,1
Stayed,13930,40,224,40,40,29,0,31
Churned,640,3,31,8,8,0,0,2
Churned,7740,14,194,23,23,22,0,9
Churned,4132,5,73,11,11,7,3,4
Churned,253,2,11,3,3,0,0,2
Churned,1960,4,45,5,5,3,1,2
Stayed,15916,39,312,60,58,61,0,20
Stayed,39522,132,1098,216,221,176,2,24
Churned,2203,2,64,5,4,4,0,1
Churned,936,16,74,20,20,1,0,12
Stayed,1573,10,43,11,11,0,0,9
Churned,9251,23,180,34,33,12,0,6
Churned,13550,44,242,60,60,12,0,17
Churned,42631,142,1338,207,207,150,1,41
Stayed,98310,231,1700,391,389,170,5,35
Stayed,18795,40,436,51,51,23,2,17
Stayed,32764,143,886,187,186,121,13,52
Stayed,27857,35,752,67,66,36,3,13
Churned,4955,6,59,8,8,7,0,4
Stayed,371,1,18,2,2,3,0,1
Stayed,1438,7,52,8,8,5,0,2
Stayed,7904,47,254,60,60,9,18,18
Stayed,34453,13,478,71,70,31,2,2
Stayed,63269,92,1508,194,194,313,5,21
Stayed,28539,39,413,62,62,95,1,13
Churned,18,1,4,1,1,0,0,1
Churned,39407,52,1219,124,123,573,1,12
Stayed,81,2,9,3,3,0,0,2
Churned,3100,8,137,12,11,15,0,3
Churned,151,5,25,7,7,0,0,4
Stayed,27039,41,396,85,85,34,1,13
Stayed,62935,132,1267,292,284,146,3,30
Stayed,103,1,6,2,2,0,0,1
Stayed,45392,83,929,155,152,130,3,38
Stayed,232574,207,4932,432,450,2186,19,27
Churned,268,1,15,2,2,0,0,1
Stayed,50918,133,804,188,185,30,41,53
Stayed,8419,16,153,30,29,22,1,14
Churned,2058,7,37,8,8,2,0,5
Churned,18,1,5,1,1,0,0,1
Stayed,37,1,4,1,1,0,0,1
Stayed,303563,263,8465,815,815,4008,97,54
Churned,5013,3,84,8,8,14,0,2
Churned,283,6,27,7,7,0,0,6
Stayed,72333,157,1633,230,226,563,7,43
Stayed,33335,54,1000,87,87,380,3,29
Stayed,6612,20,183,25,25,16,0,11
Churned,4790,10,152,15,15,18,0,6
Stayed,437027,232,3823,927,922,591,33,20
Churned,338,1,7,2,2,0,0,1
Stayed,1192,12,54,13,13,2,0,6
Stayed,113121,142,2165,312,306,614,138,49
Churned,45,1,4,1,1,0,0,1
Stayed,191,3,12,3,2,0,0,3
Stayed,207299,377,3990,623,621,1515,23,37
Churned,6881,12,133,20,20,13,0,5
Stayed,11127,39,227,53,53,26,3,25
Stayed,42320,138,839,204,203,70,71,46
Stayed,64367,35,1085,83,84,127,3,6
Stayed,10316,24,185,35,34,5,11,16
Stayed,28470,44,454,89,87,106,0,16
Stayed,17330,54,338,80,78,8,14,33
Stayed,133274,184,2476,455,450,612,7,38
Stayed,27765,63,647,112,111,94,1,21
Stayed,161512,259,3603,543,540,934,8,35
Churned,4864,12,60,15,15,0,0,6
Churned,20683,26,478,50,49,70,0,6
Churned,746,2,30,3,3,4,0,2
Stayed,29120,106,978,136,137,172,13,31
Stayed,56521,83,822,194,199,106,2,7
Stayed,19844,71,523,90,89,65,7,22
Churned,11589,20,205,29,29,31,0,5
Stayed,108533,194,2141,345,343,393,6,25
Stayed,573662,407,9369,971,963,5232,28,47
Churned,3481,2,87,9,9,19,0,1
Churned,22797,81,713,186,186,77,3,17
Churned,2887,6,108,8,8,23,2,4
Churned,776,9,40,9,9,0,0,8
Stayed,38764,66,533,127,128,12,5,21
Churned,2465,5,51,9,9,3,0,5
Stayed,1143,3,50,5,4,6,0,3
Churned,621,4,25,6,6,0,0,4
Churned,17776,23,421,56,50,67,1,8
Stayed,19880,48,342,54,55,80,1,19
Churned,10601,27,160,40,40,8,1,8
Stayed,275662,411,4795,593,591,2277,18,53
Stayed,777,2,14,3,3,0,0,1
Stayed,124148,118,2576,386,385,227,2,19
Churned,886,2,10,2,2,0,0,2
Churned,2184,8,71,20,20,5,0,7
Stayed,65032,139,1216,165,165,168,12,24
Churned,3379,3,70,6,6,8,0,2
Churned,1774,14,66,15,15,0,1,12
Churned,3335,6,65,7,7,7,0,3
Stayed,39825,75,690,112,107,104,3,33
Churned,816,2,20,4,2,0,2,1
Churned,1362,2,58,3,3,4,0,2
Churned,2527,3,42,6,6,1,1,3
Churned,22063,23,870,46,46,42,1,12
Churned,939,4,44,5,4,3,0,1
Stayed,254891,447,4843,637,637,1813,37,55
Stayed,295,1,9,2,2,0,0,1
Churned,823,8,50,9,9,2,0,8
Churned,54,1,7,2,2,0,0,1
Stayed,114952,292,2138,470,472,243,26,52
Churned,327,3,16,5,5,0,0,2
Churned,6599,15,145,28,26,17,0,13
Stayed,57947,280,1575,348,346,104,10,53
Stayed,18976,31,626,39,38,411,0,20
Churned,2969,3,79,6,6,12,0,2
Churned,6140,3,154,9,9,63,0,1
Churned,26765,46,528,63,60,95,0,34
Stayed,13196,14,233,37,38,13,0,7
Churned,19217,34,513,59,58,66,2,12
Stayed,8725,26,256,33,33,47,2,12
Stayed,219346,338,5465,530,531,2438,26,49
Stayed,65267,274,2066,322,322,183,34,55
Stayed,2335,20,84,22,22,0,0,13
Stayed,2001,2,45,3,2,8,0,2
Stayed,167335,204,3421,502,497,775,5,35
Stayed,151007,79,2834,518,510,639,4,18
Churned,14223,37,814,61,56,70,0,12
Stayed,24063,89,670,109,110,51,1,18
Churned,16213,41,486,66,63,74,2,16
Stayed,958379,760,15469,2635,2664,5435,6,55
Churned,888,1,8,2,2,0,0,1
Churned,3438,6,82,10,8,13,0,3
Churned,583,1,20,3,3,1,0,1
Churned,19336,64,406,93,92,24,1,24
Churned,16172,36,473,50,48,28,2,18
Churned,144,1,7,2,2,0,0,1
Churned,190,1,6,2,2,0,0,1
Stayed,20903,56,747,153,155,59,1,9
Churned,23280,13,401,34,34,111,0,3
Stayed,251983,405,4433,1101,1103,502,7,53
Stayed,3002,3,80,4,5,24,2,3
Churned,11216,23,187,29,29,15,0,6
Churned,44069,43,644,118,117,28,2,12
Churned,9992,4,145,16,16,11,0,2
Stayed,133927,320,3395,531,532,872,16,55
Churned,1080,1,29,5,5,3,0,1
Churned,7263,36,199,40,40,29,0,23
Stayed,271986,264,4628,408,405,2418,8,34
Stayed,1097,2,54,4,4,14,0,2
Churned,1748,1,30,4,4,3,0,1
Churned,8568,24,148,27,27,19,0,13
Stayed,7739,18,204,26,26,15,0,13
Churned,2530,10,61,19,19,0,0,7
Churned,1061,3,32,4,4,5,0,2
Stayed,15865,67,518,85,85,45,1,24
Churned,3281,4,60,6,6,13,0,3
Churned,3359,16,114,21,20,6,0,5
Stayed,123343,220,2143,401,400,266,2,29
Stayed,34518,86,1190,127,128,391,1,43
Churned,95,1,4,1,1,0,0,1
Stayed,2182,2,44,5,5,1,1,2
Churned,1261,2,17,4,4,0,0,1
Churned,10246,28,223,49,47,17,3,17
Stayed,34690,169,866,202,202,126,1,52
Churned,875,1,32,2,2,8,0,1
Churned,15579,32,400,37,37,130,2,16
Churned,4055,13,167,20,20,17,0,5
Stayed,65064,186,1363,227,225,215,85,55
Churned,5112,11,183,21,20,28,0,4
Stayed,39330,149,763,187,186,19,2,50
Stayed,267031,312,2654,592,594,253,33,30
Churned,11599,37,265,56,56,46,1,19
Stayed,92601,234,1665,366,364,430,1,26
Churned,698,2,21,3,3,2,0,2
Stayed,27,2,11,3,3,0,0,2
Stayed,19056,46,449,71,71,93,1,24
Stayed,23,1,4,1,1,0,0,1
Stayed,40804,131,927,186,186,213,0,48
Churned,6697,17,190,31,31,17,0,10
Stayed,46271,67,543,111,110,36,10,28
Stayed,23203,19,531,42,44,248,0,5
Churned,73011,143,3529,217,214,2407,1,35
Churned,30137,56,531,98,98,22,0,21
Stayed,19166,17,369,49,49,47,0,11
Churned,4738,5,114,18,18,14,2,3
Stayed,15830,17,283,38,36,47,0,7
Churned,1449,3,28,4,3,9,1,3
Stayed,148364,240,3948,344,353,2103,21,54
Stayed,52613,257,2087,383,382,62,126,49
Churned,861,2,30,5,5,2,0,2
Stayed,56073,184,1353,297,297,144,61,48
Churned,10960,21,251,46,45,24,0,14
Stayed,3991,4,70,7,7,4,0,3
Stayed,463050,342,9824,906,908,5305,38,54
Stayed,37141,44,494,93,86,45,4,19
Churned,3340,9,75,15,14,8,0,8
Churned,65,1,4,1,1,0,0,1
Churned,11282,30,234,38,38,20,0,11
Stayed,34493,53,600,100,97,78,18,28
Stayed,20281,35,456,63,62,64,1,18
Churned,3154,6,115,9,10,16,0,5
Stayed,69649,167,1214,278,275,173,9,48
Stayed,60976,157,1340,184,187,373,2,30
Churned,132538,360,2840,493,490,798,27,24
Churned,4253,14,136,17,16,21,0,9
Churned,181,1,5,1,1,0,0,1
Churned,286,4,20,7,7,0,0,1
Churned,859,11,46,11,11,0,0,10
Stayed,98371,326,2025,504,506,102,54,53
Churned,758,2,50,15,15,0,0,1
Stayed,14181,14,225,37,36,15,0,7
Churned,192877,231,4657,608,608,1210,20,26
Stayed,9969,28,195,31,32,37,0,14
Churned,5807,25,133,27,27,20,0,18
Churned,484,1,19,2,2,1,0,1
Churned,5559,9,87,18,16,14,0,7
Stayed,9363,62,279,78,78,1,3,27
Churned,4450,17,97,22,22,2,0,12
Churned,337,1,7,2,2,0,0,1
Stayed,2346,3,121,10,9,14,0,3
Stayed,26835,67,517,78,77,96,2,24
Stayed,67010,145,1156,189,189,313,2,45
Stayed,46490,64,927,119,118,414,1,19
Stayed,4610,10,137,18,17,15,0,5
Stayed,16305,33,477,56,56,34,1,11
Stayed,3971,5,145,8,8,10,1,3
Stayed,179662,267,2278,525,522,178,11,30
Stayed,76140,197,2518,319,322,136,226,55
Stayed,42615,194,1149,233,235,121,4,50
Stayed,4219,5,125,12,12,11,0,4
Churned,53550,207,1235,291,288,106,16,44
Stayed,2102,4,81,5,6,19,0,2
Stayed,1501,3,42,5,5,4,0,3
Stayed,90783,213,1935,342,337,385,10,48
Churned,1230,3,34,4,4,11,0,3
Stayed,87377,104,2267,186,185,975,10,32
Churned,25223,46,519,79,78,97,1,19
Stayed,11720,78,344,89,88,29,0,37
Churned,805,1,24,2,2,3,0,1
Churned,1222,2,47,7,6,7,1,1
Stayed,111437,261,2134,348,347,430,19,39
Stayed,9325,9,193,20,20,69,0,2
Churned,7075,25,208,28,28,30,1,16
